lat,lon,AADT,year,route,ffc
42.420451,-71.103762,164148,2016,93,1
42.430315,-71.102908,172234,2014,93,1
42.433224,-71.102269,173698,2024,93,1
42.442968,-71.104879,173698,2024,93,1
42.446944,-71.104933,173698,2024,93,1
42.448525,-71.104504,173698,2024,93,1
42.455351,-71.10248,175267,2024,93,1
42.199469,-71.144971,130694,2024,95,1
42.200359,-71.14432,61997,2024,95,1
42.203797,-71.142124,61997,2024,95,1
42.206917,-71.140369,61997,2024,95,1
42.207809,-71.139882,84708,2024,95,1
42.208673,-71.139178,21300,2021,95,1
42.208988,-71.138131,21300,2021,95,1
42.207303,-71.137169,21300,2021,95,1
42.208139,-71.140514,113471,2024,95,1
42.208568,-71.141417,113471,2024,95,1
42.208871,-71.14218,113471,2024,95,1
42.209143,-71.142708,172695,,95,1
42.210085,-71.144537,172695,,95,1
42.211125,-71.146407,172695,,95,1
42.212606,-71.149041,172695,,95,1
42.213244,-71.150156,172005,2024,95,1
42.213735,-71.150984,172005,2024,95,1
42.217178,-71.15684,171140,2017,95,1
42.219077,-71.160184,171140,2017,95,1
42.220031,-71.162135,170591,2024,95,1
42.221727,-71.166556,169979,2024,95,1
42.223409,-71.171022,169979,2024,95,1
42.226229,-71.178371,169430,,95,1
42.226629,-71.179151,168476,2024,95,1
42.226831,-71.179492,168294,2024,95,1
42.227009,-71.179794,168294,2024,95,1
42.228089,-71.18106,167426,2024,95,1
42.228807,-71.181736,167426,2024,95,1
42.228975,-71.181914,166587,2024,95,1
42.229212,-71.182156,166587,2024,95,1
42.230666,-71.183841,165568,2024,95,1
42.231344,-71.184828,165568,2024,95,1
42.231489,-71.185051,160211,,95,1
42.232751,-71.186927,160211,,95,1
42.23918,-71.195083,160211,,95,1
42.243386,-71.200357,160591,2024,95,1
42.269687,-71.2002,155614,,95,1
42.271209,-71.199282,156400,2024,95,1
42.272622,-71.19884,156400,2024,95,1
42.273331,-71.19874,156400,2024,95,1
42.280515,-71.20079,159342,,95,1
42.225835,-71.161996,1154,,002311,7
42.262361,-71.120419,1154,,003289,7
42.223966,-70.9517,1154,,060033,7
42.224319,-70.951001,1154,,060033,7
42.224621,-70.950288,1154,,060033,7
42.224659,-70.950201,1154,,060033,7
42.224754,-70.949935,1154,,060033,7
42.224567,-70.949957,1154,,060033,7
42.225069,-70.951581,1154,,060034,7
42.274055,-71.173486,1154,,060176,7
42.274184,-71.172808,1154,,060176,7
42.275328,-71.171908,1154,,060176,7
42.275921,-71.172146,1154,,060176,7
42.273804,-71.172773,1154,,060177,7
42.273317,-71.17224,1154,,060177,7
42.274846,-71.170839,1154,,060177,7
42.275972,-71.170843,1154,,060177,7
42.291681,-71.126376,1154,,090041,7
42.295142,-71.126565,1154,,090041,7
42.296119,-71.128512,1154,,090041,7
42.296504,-71.127737,1154,,090041,7
42.307498,-71.099208,1154,,090079,7
42.258762,-71.120805,1154,,090117,7
42.259302,-71.120379,1154,,090117,7
42.260136,-71.119843,1154,,090117,7
42.261348,-71.119274,1154,,090117,7
42.262644,-71.118635,1154,,090117,7
42.263578,-71.118192,1154,,090117,7
42.367145,-71.018195,1154,,090148,7
42.367456,-71.019348,1154,,090148,7
42.316692,-71.038812,1154,,090150,7
42.316529,-71.037727,1154,,090150,7
42.314268,-71.033971,1154,,090150,7
42.306939,-71.097613,1154,,090158,7
42.237493,-71.130681,1154,,090239,7
42.23766,-71.130611,1154,,090239,7
42.373215,-71.055663,1154,,090580,7
42.338195,-71.078524,1154,,090803,7
42.3384,-71.079795,1154,,090804,7
42.344295,-71.057252,1154,,091095,7
42.365312,-71.086241,1154,,091358,7
42.388414,-71.136192,1154,,091363,7
42.388856,-71.133693,1154,,091364,7
42.388593,-71.133523,1154,,091365,7
42.382758,-71.147195,1154,,091368,7
42.38217,-71.145315,1154,,091369,7
42.38801,-71.152349,1154,,091370,7
42.307554,-71.198396,1154,,092218,7
42.210259,-71.167381,1154,,106448,7
42.334267,-71.050796,1154,,106460,7
42.334576,-71.050437,1154,,106460,7
42.334886,-71.050037,1154,,106460,7
42.335184,-71.049693,1154,,106460,7
42.335507,-71.049321,1154,,106460,7
42.335812,-71.04896,1154,,106460,7
42.33612,-71.048593,1154,,106460,7
42.33647,-71.048177,1154,,106460,7
42.336821,-71.047761,10966,2021,1800,4
42.336829,-71.047751,1154,,106460,7
42.337602,-71.04685,1154,,106460,7
42.337886,-71.046521,1154,,106460,7
